Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Aceh,Aceh Utara,2,KACANG HIJAU,Ton,30.2,33.6,142.1,0.0,0.0,0.0
Aceh,Aceh Utara,3,KACANG TANAH,Ton,91.7,106.62,142.1,148.7,0.0,0.0
Aceh,Aceh Utara,4,KEDELAI,Ton,524.3,145.56,496.98,6823.35,0.0,0.0
Aceh,Aceh Utara,5,PADI,Ton,388190.19,360353.4,323839.47,236839.84,0.0,0.0
Aceh,Aceh Utara,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,8,UBIJALAR,Ton,208.49,427.89,430.3,921.65,0.0,0.0
Aceh,Aceh Utara,9,UBIKAYU / KETELA POHON,Ton,2233.8,6566.71,6205.36,6407.13,0.0,0.0
Aceh,Aceh Barat Daya,1,JAGUNG,Ton,10389.64,7585.07,2193.73,0.0,0.0,0.0
Aceh,Aceh Barat Daya,2,KACANG HIJAU,Ton,2.5,8.0,77.65,0.0,0.0,0.0
Aceh,Aceh Barat Daya,3,KACANG TANAH,Ton,155.52,56.01,77.65,0.0,0.0,0.0
Aceh,Aceh Barat Daya,4,KEDELAI,Ton,22.22,27.45,15.62,0.0,0.0,0.0
Aceh,Aceh Barat Daya,5,PADI,Ton,68823.14,72985.18,68350.84,53557.8,0.0,0.0
Aceh,Aceh Barat Daya,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,8,UBIJALAR,Ton,322.28,248.46,288.1,0.0,0.0,0.0
Aceh,Aceh Barat Daya,9,UBIKAYU / KETELA POHON,Ton,865.34,1509.86,838.84,0.0,0.0,0.0
Gayo,Gayo Lues,1,JAGUNG,Ton,8366.77,11063.07,15368.85,0.0,0.0,0.0
Gayo,Gayo Lues,2,KACANG HIJAU,Ton,0.0,0.5,17.04,0.0,0.0,0.0
Gayo,Gayo Lues,3,KACANG TANAH,Ton,8.32,7.54,17.04,2.63,0.0,0.0
Gayo,Gayo Lues,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,5,PADI,Ton,36309.25,24618.49,28634.5,27701.99,0.0,0.0
Gayo,Gayo Lues,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,8,UBIJALAR,Ton,4.64,173.45,158.94,85.73,0.0,0.0
Gayo,Gayo Lues,9,UBIKAYU / KETELA POHON,Ton,48.24,341.03,473.29,100.11,0.0,0.0
Aceh,Aceh Tamiang,1,JAGUNG,Ton,10210.92,6045.47,2187.56,0.0,0.0,0.0
Aceh,Aceh Tamiang,2,KACANG HIJAU,Ton,6.6,11.6,16.73,0.0,0.0,0.0
Aceh,Aceh Tamiang,3,KACANG TANAH,Ton,15.95,25.13,16.73,15.38,0.0,0.0
Aceh,Aceh Tamiang,4,KEDELAI,Ton,0.0,0.0,0.0,458.01,0.0,0.0
Aceh,Aceh Tamiang,5,PADI,Ton,70062.57,69164.58,59902.25,65490.21,0.0,0.0
Aceh,Aceh Tamiang,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,8,UBIJALAR,Ton,37.34,175.53,21.44,85.73,0.0,0.0
Aceh,Aceh Tamiang,9,UBIKAYU / KETELA POHON,Ton,599.72,4264.26,834.64,145.62,0.0,0.0
Nagan,Nagan Raya,1,JAGUNG,Ton,15461.0,15542.03,19057.97,0.0,0.0,0.0
Nagan,Nagan Raya,2,KACANG HIJAU,Ton,3.3,3.0,65.17,0.0,0.0,0.0
Nagan,Nagan Raya,3,KACANG TANAH,Ton,140.23,60.43,65.17,0.0,0.0,0.0
Nagan,Nagan Raya,4,KEDELAI,Ton,1.44,1.54,0.0,180.85,0.0,0.0
Nagan,Nagan Raya,5,PADI,Ton,39168.32,41056.31,32185.63,53843.97,0.0,0.0
Nagan,Nagan Raya,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,8,UBIJALAR,Ton,25.86,35.66,50.79,0.0,0.0,0.0
Nagan,Nagan Raya,9,UBIKAYU / KETELA POHON,Ton,793.22,308.19,319.33,0.0,0.0,0.0
Aceh,Aceh Jaya,1,JAGUNG,Ton,3631.2,2737.5,1162.12,0.0,0.0,0.0
Aceh,Aceh Jaya,2,KACANG HIJAU,Ton,35.5,32.7,78.31,0.0,0.0,0.0
Aceh,Aceh Jaya,3,KACANG TANAH,Ton,213.98,97.44,78.31,78.94,0.0,0.0
Aceh,Aceh Jaya,4,KEDELAI,Ton,35.09,33.99,17.21,192.22,0.0,0.0
Aceh,Aceh Jaya,5,PADI,Ton,54913.79,49550.64,42784.33,41075.25,0.0,0.0
Aceh,Aceh Jaya,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,8,UBIJALAR,Ton,737.27,648.68,315.1,321.51,0.0,0.0
Aceh,Aceh Jaya,9,UBIKAYU / KETELA POHON,Ton,1327.85,1241.42,735.66,946.51,0.0,0.0
Bener,Bener Meriah,1,JAGUNG,Ton,606.49,2933.7,1061.1,0.0,0.0,0.0
Bener,Bener Meriah,2,KACANG HIJAU,Ton,0.0,0.0,15.3,0.0,0.0,0.0
Bener,Bener Meriah,3,KACANG TANAH,Ton,5.63,12.33,15.3,5.93,0.0,0.0
Bener,Bener Meriah,4,KEDELAI,Ton,1.6,6.56,0.0,68.46,0.0,0.0
Bener,Bener Meriah,5,PADI,Ton,2132.65,1739.39,1715.62,1715.26,0.0,0.0
Bener,Bener Meriah,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,8,UBIJALAR,Ton,1840.03,1191.99,477.88,685.02,0.0,0.0
Bener,Bener Meriah,9,UBIKAYU / KETELA POHON,Ton,765.23,700.0,722.75,872.24,0.0,0.0
Pidie,Pidie Jaya,1,JAGUNG,Ton,9556.34,9683.65,10838.05,0.0,0.0,0.0
Pidie,Pidie Jaya,2,KACANG HIJAU,Ton,10.6,8.8,95.76,0.0,0.0,0.0
Pidie,Pidie Jaya,3,KACANG TANAH,Ton,78.45,111.14,95.76,84.53,0.0,0.0
Pidie,Pidie Jaya,4,KEDELAI,Ton,14.87,54.94,200.65,683.11,0.0,0.0
Pidie,Pidie Jaya,5,PADI,Ton,99405.96,93842.7,88469.06,84438.5,0.0,0.0
Pidie,Pidie Jaya,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,8,UBIJALAR,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,9,UBIKAYU / KETELA POHON,Ton,735.27,504.31,498.0,400.45,0.0,0.0
Banda,Banda Aceh,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,2,KACANG HIJAU,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,3,KACANG TANAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,4,KEDELAI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,5,PADI,Ton,86.9,70.32,72.97,49.85,0.0,0.0
Banda,Banda Aceh,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,8,UBIJALAR,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,9,UBIKAYU / KETELA POHON,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,1,JAGUNG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,2,KACANG HIJAU,Ton,0.0,0.0,23.04,0.0,0.0,0.0
Sabang,Sabang,3,KACANG TANAH,Ton,13.72,12.1,23.04,0.0,0.0,0.0
Sabang,Sabang,4,KEDELAI,Ton,0.0,0.0,0.0,16.37,0.0,0.0
Sabang,Sabang,5,PADI,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,6,PADI LADANG,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,7,PADI SAWAH,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,8,UBIJALAR,Ton,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,9,UBIKAYU / KETELA POHON,Ton,240.45,300.33,454.47,0.0,0.0,0.0
Langsa,Langsa,1,JAGUNG,Ton,16.53,85.03,5.7,0.0,0.0,0.0
