Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Pidie,Pidie Jaya,1,JAGUNG,Ha,1804.7,1876.0,1959.5,0.0,0.0,0.0
Pidie,Pidie Jaya,2,KACANG HIJAU,Ha,12.0,9.0,62.8,32.0,0.0,0.0
Pidie,Pidie Jaya,3,KACANG TANAH,Ha,50.0,79.0,62.8,60.6,0.0,0.0
Pidie,Pidie Jaya,4,KEDELAI,Ha,10.0,34.0,124.1,393.54,0.0,0.0
Pidie,Pidie Jaya,5,PADI,Ha,15883.56,15550.93,12943.74,11855.8,15204.8,0.0
Pidie,Pidie Jaya,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,0.0,23.96,0.0,0.0
Banda,Banda Aceh,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,3,KACANG TANAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,5,PADI,Ha,16.41,13.19,13.07,10.09,12.89,0.0
Banda,Banda Aceh,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,0.0,11.0,0.0,0.0
Sabang,Sabang,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,2,KACANG HIJAU,Ha,0.0,0.0,15.0,0.0,0.0,0.0
Sabang,Sabang,3,KACANG TANAH,Ha,9.0,9.0,15.0,0.0,0.0,0.0
Sabang,Sabang,4,KEDELAI,Ha,0.0,0.0,0.0,10.42,0.0,0.0
Sabang,Sabang,5,PADI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Sabang,Sabang,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,1,JAGUNG,Ha,3.0,16.0,1.0,0.0,0.0,0.0
Langsa,Langsa,2,KACANG HIJAU,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,3,KACANG TANAH,Ha,0.0,1.0,0.0,0.0,0.0,0.0
Langsa,Langsa,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,5,PADI,Ha,1606.85,1560.93,1610.27,1758.58,1579.12,0.0
Langsa,Langsa,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,8,UBIJALAR,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Langsa,Langsa,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,0.0,23.0,0.0,0.0
Lhokseumawe,Lhokseumawe,1,JAGUNG,Ha,37.0,14.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,2,KACANG HIJAU,Ha,1.0,0.0,1.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,3,KACANG TANAH,Ha,3.0,8.0,1.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,4,KEDELAI,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,5,PADI,Ha,1960.59,1902.81,1812.04,1692.32,1781.45,0.0
Lhokseumawe,Lhokseumawe,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,8,UBIJALAR,Ha,0.0,0.0,2.0,0.0,0.0,0.0
Lhokseumawe,Lhokseumawe,9,UBIKAYU / KETELA POHON,Ha,0.0,0.0,2.0,2.25,0.0,0.0
Subulussalam,Subulussalam,1,JAGUNG,Ha,3083.0,2898.0,1449.0,0.0,0.0,0.0
Subulussalam,Subulussalam,2,KACANG HIJAU,Ha,21.0,17.0,19.0,21.0,0.0,0.0
Subulussalam,Subulussalam,3,KACANG TANAH,Ha,31.0,30.0,19.0,32.0,0.0,0.0
Subulussalam,Subulussalam,4,KEDELAI,Ha,6.0,7.0,1.0,0.0,0.0,0.0
Subulussalam,Subulussalam,5,PADI,Ha,417.5,141.87,53.28,23.35,26.22,0.0
Subulussalam,Subulussalam,6,PADI LADANG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,7,PADI SAWAH,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Subulussalam,Subulussalam,8,UBIJALAR,Ha,72.1,11.0,10.0,11.0,0.0,0.0
Subulussalam,Subulussalam,9,UBIKAYU / KETELA POHON,Ha,72.1,11.0,10.0,60.0,0.0,0.0
Nias,Nias,1,JAGUNG,Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nias,Nias,2,KACANG HIJAU,Ha,0.0,2.0,0.5,0.0,0.0,0.0
Nias,Nias,3,KACANG TANAH,Ha,0.5,0.7,6.1,0.0,0.0,0.0
Nias,Nias,4,KEDELAI,Ha,1.0,0.0,0.0,0.0,0.0,0.0
