Provinsi,Kabupaten,No,Komoditas,Satuan,2020,2021,2022,2023,2024,2025
Pidie,Pidie,2,KACANG HIJAU,Kuintal/Ha,13.11,12.38,16.01,0.0,0.0,0.0
Pidie,Pidie,3,KACANG TANAH,Kuintal/Ha,14.97,12.92,16.01,0.0,0.0,0.0
Pidie,Pidie,4,KEDELAI,Kuintal/Ha,14.62,15.93,16.98,0.0,0.0,0.0
Pidie,Pidie,5,PADI,Kuintal/Ha,63.4,56.57,60.46,0.0,0.0,0.0
Pidie,Pidie,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie,8,UBIJALAR,Kuintal/Ha,151.73,214.37,0.0,0.0,0.0,0.0
Pidie,Pidie,9,UBIKAYU / KETELA POHON,Kuintal/Ha,151.73,214.37,0.0,0.0,0.0,0.0
Bireuen,Bireuen,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,2,KACANG HIJAU,Kuintal/Ha,12.41,15.55,15.44,0.0,0.0,0.0
Bireuen,Bireuen,3,KACANG TANAH,Kuintal/Ha,15.27,13.13,15.44,0.0,0.0,0.0
Bireuen,Bireuen,4,KEDELAI,Kuintal/Ha,14.4,17.1,15.06,0.0,0.0,0.0
Bireuen,Bireuen,5,PADI,Kuintal/Ha,66.01,61.32,60.88,0.0,0.0,0.0
Bireuen,Bireuen,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bireuen,Bireuen,8,UBIJALAR,Kuintal/Ha,126.61,158.04,163.71,0.0,0.0,0.0
Bireuen,Bireuen,9,UBIKAYU / KETELA POHON,Kuintal/Ha,126.61,158.04,163.71,0.0,0.0,0.0
Aceh,Aceh Utara,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,2,KACANG HIJAU,Kuintal/Ha,7.74,9.31,16.15,0.0,0.0,0.0
Aceh,Aceh Utara,3,KACANG TANAH,Kuintal/Ha,13.1,13.67,16.15,0.0,0.0,0.0
Aceh,Aceh Utara,4,KEDELAI,Kuintal/Ha,15.38,17.33,16.24,0.0,0.0,0.0
Aceh,Aceh Utara,5,PADI,Kuintal/Ha,53.67,57.7,59.76,0.0,0.0,0.0
Aceh,Aceh Utara,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Utara,8,UBIJALAR,Kuintal/Ha,122.64,225.21,148.38,0.0,0.0,0.0
Aceh,Aceh Utara,9,UBIKAYU / KETELA POHON,Kuintal/Ha,122.64,225.21,148.38,0.0,0.0,0.0
Aceh,Aceh Barat Daya,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,2,KACANG HIJAU,Kuintal/Ha,8.33,7.27,16.28,0.0,0.0,0.0
Aceh,Aceh Barat Daya,3,KACANG TANAH,Kuintal/Ha,15.11,13.73,16.28,0.0,0.0,0.0
Aceh,Aceh Barat Daya,4,KEDELAI,Kuintal/Ha,14.81,16.15,15.62,0.0,0.0,0.0
Aceh,Aceh Barat Daya,5,PADI,Kuintal/Ha,57.09,54.58,57.85,0.0,0.0,0.0
Aceh,Aceh Barat Daya,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Barat Daya,8,UBIJALAR,Kuintal/Ha,123.95,191.12,180.06,0.0,0.0,0.0
Aceh,Aceh Barat Daya,9,UBIKAYU / KETELA POHON,Kuintal/Ha,123.95,191.12,180.06,0.0,0.0,0.0
Gayo,Gayo Lues,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,2,KACANG HIJAU,Kuintal/Ha,0.0,10.0,16.23,0.0,0.0,0.0
Gayo,Gayo Lues,3,KACANG TANAH,Kuintal/Ha,16.99,12.57,16.23,0.0,0.0,0.0
Gayo,Gayo Lues,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,5,PADI,Kuintal/Ha,55.32,60.35,58.15,0.0,0.0,0.0
Gayo,Gayo Lues,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Gayo,Gayo Lues,8,UBIJALAR,Kuintal/Ha,92.8,176.99,144.49,0.0,0.0,0.0
Gayo,Gayo Lues,9,UBIKAYU / KETELA POHON,Kuintal/Ha,92.8,176.99,144.49,0.0,0.0,0.0
Aceh,Aceh Tamiang,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,2,KACANG HIJAU,Kuintal/Ha,5.08,6.14,16.73,0.0,0.0,0.0
Aceh,Aceh Tamiang,3,KACANG TANAH,Kuintal/Ha,14.5,13.96,16.73,0.0,0.0,0.0
Aceh,Aceh Tamiang,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,5,PADI,Kuintal/Ha,46.75,48.75,37.12,0.0,0.0,0.0
Aceh,Aceh Tamiang,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Tamiang,8,UBIJALAR,Kuintal/Ha,124.46,250.75,107.2,0.0,0.0,0.0
Aceh,Aceh Tamiang,9,UBIKAYU / KETELA POHON,Kuintal/Ha,124.46,250.75,107.2,0.0,0.0,0.0
Nagan,Nagan Raya,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,2,KACANG HIJAU,Kuintal/Ha,11.0,15.0,13.22,0.0,0.0,0.0
Nagan,Nagan Raya,3,KACANG TANAH,Kuintal/Ha,18.95,17.27,13.22,0.0,0.0,0.0
Nagan,Nagan Raya,4,KEDELAI,Kuintal/Ha,14.4,15.44,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,5,PADI,Kuintal/Ha,44.03,46.07,49.51,0.0,0.0,0.0
Nagan,Nagan Raya,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Nagan,Nagan Raya,8,UBIJALAR,Kuintal/Ha,152.09,187.7,153.92,0.0,0.0,0.0
Nagan,Nagan Raya,9,UBIKAYU / KETELA POHON,Kuintal/Ha,152.09,187.7,153.92,0.0,0.0,0.0
Aceh,Aceh Jaya,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,2,KACANG HIJAU,Kuintal/Ha,7.89,14.86,15.36,0.0,0.0,0.0
Aceh,Aceh Jaya,3,KACANG TANAH,Kuintal/Ha,15.33,13.53,15.36,0.0,0.0,0.0
Aceh,Aceh Jaya,4,KEDELAI,Kuintal/Ha,15.95,16.18,15.64,0.0,0.0,0.0
Aceh,Aceh Jaya,5,PADI,Kuintal/Ha,58.41,49.6,43.42,0.0,0.0,0.0
Aceh,Aceh Jaya,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Aceh,Aceh Jaya,8,UBIJALAR,Kuintal/Ha,136.53,202.71,196.94,0.0,0.0,0.0
Aceh,Aceh Jaya,9,UBIKAYU / KETELA POHON,Kuintal/Ha,136.53,202.71,196.94,0.0,0.0,0.0
Bener,Bener Meriah,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,15.46,0.0,0.0,0.0
Bener,Bener Meriah,3,KACANG TANAH,Kuintal/Ha,14.07,12.33,15.46,0.0,0.0,0.0
Bener,Bener Meriah,4,KEDELAI,Kuintal/Ha,15.97,16.4,0.0,0.0,0.0,0.0
Bener,Bener Meriah,5,PADI,Kuintal/Ha,54.0,46.57,53.99,0.0,0.0,0.0
Bener,Bener Meriah,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Bener,Bener Meriah,8,UBIJALAR,Kuintal/Ha,255.21,294.32,183.8,0.0,0.0,0.0
Bener,Bener Meriah,9,UBIKAYU / KETELA POHON,Kuintal/Ha,255.21,294.32,183.8,0.0,0.0,0.0
Pidie,Pidie Jaya,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,2,KACANG HIJAU,Kuintal/Ha,8.83,9.78,15.25,0.0,0.0,0.0
Pidie,Pidie Jaya,3,KACANG TANAH,Kuintal/Ha,15.69,14.07,15.25,0.0,0.0,0.0
Pidie,Pidie Jaya,4,KEDELAI,Kuintal/Ha,14.87,16.16,16.17,0.0,0.0,0.0
Pidie,Pidie Jaya,5,PADI,Kuintal/Ha,62.58,60.35,68.35,0.0,0.0,0.0
Pidie,Pidie Jaya,6,PADI LADANG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,7,PADI SAWAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,8,UBIJALAR,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Pidie,Pidie Jaya,9,UBIKAYU / KETELA POHON,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,1,JAGUNG,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,2,KACANG HIJAU,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,3,KACANG TANAH,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
Banda,Banda Aceh,4,KEDELAI,Kuintal/Ha,0.0,0.0,0.0,0.0,0.0,0.0
