tanggal_data,harga_rata_rata,variant_id,variant_nama
2025-05-09 00:00:00+00:00,22236.967207602338,17,Minyak Goreng Sawit Kemasan Premium
2025-05-14 00:00:00+00:00,22263.13671637427,17,Minyak Goreng Sawit Kemasan Premium
2025-05-15 00:00:00+00:00,22262.447472848788,17,Minyak Goreng Sawit Kemasan Premium
2025-05-16 00:00:00+00:00,22251.82845348219,17,Minyak Goreng Sawit Kemasan Premium
2025-05-19 00:00:00+00:00,22256.035080276448,17,Minyak Goreng Sawit Kemasan Premium
2025-05-20 00:00:00+00:00,22268.09650132908,17,Minyak Goreng Sawit Kemasan Premium
2025-05-21 00:00:00+00:00,22268.315777644868,17,Minyak Goreng Sawit Kemasan Premium
2025-05-22 00:00:00+00:00,22277.56617238171,17,Minyak Goreng Sawit Kemasan Premium
2025-05-23 00:00:00+00:00,22288.531018872938,17,Minyak Goreng Sawit Kemasan Premium
2025-05-26 00:00:00+00:00,22330.19770746943,17,Minyak Goreng Sawit Kemasan Premium
2025-05-27 00:00:00+00:00,22335.680119750134,17,Minyak Goreng Sawit Kemasan Premium
2025-05-28 00:00:00+00:00,22338.531018872938,17,Minyak Goreng Sawit Kemasan Premium
2025-06-02 00:00:00+00:00,22341.455121943116,17,Minyak Goreng Sawit Kemasan Premium
2025-06-03 00:00:00+00:00,22335.022350013292,17,Minyak Goreng Sawit Kemasan Premium
2025-06-04 00:00:00+00:00,22336.320418593834,17,Minyak Goreng Sawit Kemasan Premium
2025-06-05 00:00:00+00:00,22331.93444271664,17,Minyak Goreng Sawit Kemasan Premium
2025-06-10 00:00:00+00:00,22290.267819909623,17,Minyak Goreng Sawit Kemasan Premium
2025-06-11 00:00:00+00:00,22291.36433306752,17,Minyak Goreng Sawit Kemasan Premium
2025-06-12 00:00:00+00:00,22290.013633306753,17,Minyak Goreng Sawit Kemasan Premium
2025-06-13 00:00:00+00:00,22295.396408426368,17,Minyak Goreng Sawit Kemasan Premium
2025-06-16 00:00:00+00:00,22351.743816321105,17,Minyak Goreng Sawit Kemasan Premium
2025-06-17 00:00:00+00:00,22377.852491759702,17,Minyak Goreng Sawit Kemasan Premium
2025-06-18 00:00:00+00:00,22375.988423777246,17,Minyak Goreng Sawit Kemasan Premium
2025-06-19 00:00:00+00:00,22389.84082070707,17,Minyak Goreng Sawit Kemasan Premium
2025-06-20 00:00:00+00:00,22366.44897860181,17,Minyak Goreng Sawit Kemasan Premium
2025-06-23 00:00:00+00:00,22343.495732987772,17,Minyak Goreng Sawit Kemasan Premium
2025-06-24 00:00:00+00:00,22347.00458825093,17,Minyak Goreng Sawit Kemasan Premium
2025-06-25 00:00:00+00:00,22326.29309702286,17,Minyak Goreng Sawit Kemasan Premium
2025-06-26 00:00:00+00:00,22337.806254917596,17,Minyak Goreng Sawit Kemasan Premium
2025-06-30 00:00:00+00:00,22338.902746145668,17,Minyak Goreng Sawit Kemasan Premium
2025-07-01 00:00:00+00:00,22348.402387293994,17,Minyak Goreng Sawit Kemasan Premium
2025-07-02 00:00:00+00:00,22339.23171544391,17,Minyak Goreng Sawit Kemasan Premium
2025-07-03 00:00:00+00:00,22342.262014486976,17,Minyak Goreng Sawit Kemasan Premium
2025-07-04 00:00:00+00:00,22347.704606193514,17,Minyak Goreng Sawit Kemasan Premium
2025-07-07 00:00:00+00:00,22341.98293394471,17,Minyak Goreng Sawit Kemasan Premium
2025-07-08 00:00:00+00:00,22332.04677286018,17,Minyak Goreng Sawit Kemasan Premium
2025-07-09 00:00:00+00:00,22332.80435300372,17,Minyak Goreng Sawit Kemasan Premium
2025-07-10 00:00:00+00:00,22333.003707070708,17,Minyak Goreng Sawit Kemasan Premium
2025-07-11 00:00:00+00:00,22330.225921982987,17,Minyak Goreng Sawit Kemasan Premium
2025-07-14 00:00:00+00:00,22318.862249734182,17,Minyak Goreng Sawit Kemasan Premium
2025-07-15 00:00:00+00:00,22323.796438330675,17,Minyak Goreng Sawit Kemasan Premium
2025-07-16 00:00:00+00:00,22320.52689686337,17,Minyak Goreng Sawit Kemasan Premium
2025-07-17 00:00:00+00:00,22322.5005810739,17,Minyak Goreng Sawit Kemasan Premium
2025-07-18 00:00:00+00:00,22326.00937054758,17,Minyak Goreng Sawit Kemasan Premium
2025-07-21 00:00:00+00:00,22329.079545986177,17,Minyak Goreng Sawit Kemasan Premium
2025-07-22 00:00:00+00:00,22338.399776249335,17,Minyak Goreng Sawit Kemasan Premium
2025-07-23 00:00:00+00:00,22337.801690124932,17,Minyak Goreng Sawit Kemasan Premium
2025-07-24 00:00:00+00:00,22342.078038809144,17,Minyak Goreng Sawit Kemasan Premium
2025-07-25 00:00:00+00:00,22348.656986177564,17,Minyak Goreng Sawit Kemasan Premium
2025-07-28 00:00:00+00:00,22359.950845826686,17,Minyak Goreng Sawit Kemasan Premium
2025-07-29 00:00:00+00:00,22357.867523458266,17,Minyak Goreng Sawit Kemasan Premium
2025-07-30 00:00:00+00:00,22371.02541819511,17,Minyak Goreng Sawit Kemasan Premium
2025-07-31 00:00:00+00:00,22371.224784223818,17,Minyak Goreng Sawit Kemasan Premium
2025-08-01 00:00:00+00:00,22395.93239387294,17,Minyak Goreng Sawit Kemasan Premium
2025-05-06 00:00:00+00:00,17691.348533148303,16,Minyak Goreng Sawit Curah
2025-05-07 00:00:00+00:00,17670.705907828284,16,Minyak Goreng Sawit Curah
2025-05-08 00:00:00+00:00,17666.404832559467,16,Minyak Goreng Sawit Curah
2025-05-09 00:00:00+00:00,17666.404832559467,16,Minyak Goreng Sawit Curah
2025-05-14 00:00:00+00:00,17672.755438497883,16,Minyak Goreng Sawit Curah
2025-05-15 00:00:00+00:00,17681.59095552297,16,Minyak Goreng Sawit Curah
2025-05-16 00:00:00+00:00,17767.781508670032,16,Minyak Goreng Sawit Curah
2025-05-19 00:00:00+00:00,17662.996442082112,16,Minyak Goreng Sawit Curah
2025-05-20 00:00:00+00:00,17661.13916935484,16,Minyak Goreng Sawit Curah
2025-05-21 00:00:00+00:00,17656.049626344087,16,Minyak Goreng Sawit Curah
2025-05-22 00:00:00+00:00,17662.843370234605,16,Minyak Goreng Sawit Curah
2025-05-23 00:00:00+00:00,17649.671237618117,16,Minyak Goreng Sawit Curah
2025-05-26 00:00:00+00:00,17644.474194607363,16,Minyak Goreng Sawit Curah
2025-05-27 00:00:00+00:00,17595.683858585857,16,Minyak Goreng Sawit Curah
2025-05-28 00:00:00+00:00,17624.689234929945,16,Minyak Goreng Sawit Curah
2025-06-02 00:00:00+00:00,17624.271265721734,16,Minyak Goreng Sawit Curah
2025-06-03 00:00:00+00:00,17617.264088302378,16,Minyak Goreng Sawit Curah
2025-06-04 00:00:00+00:00,17626.744410883024,16,Minyak Goreng Sawit Curah
2025-06-05 00:00:00+00:00,17630.622753991527,16,Minyak Goreng Sawit Curah
2025-06-10 00:00:00+00:00,17607.4556352232,16,Minyak Goreng Sawit Curah
2025-06-11 00:00:00+00:00,17603.10570609319,16,Minyak Goreng Sawit Curah
2025-06-12 00:00:00+00:00,17598.560251547737,16,Minyak Goreng Sawit Curah
2025-06-13 00:00:00+00:00,17589.81477745194,16,Minyak Goreng Sawit Curah
2025-06-16 00:00:00+00:00,17580.26609237537,16,Minyak Goreng Sawit Curah
2025-06-17 00:00:00+00:00,17567.406312968393,16,Minyak Goreng Sawit Curah
2025-06-18 00:00:00+00:00,17566.627490876508,16,Minyak Goreng Sawit Curah
2025-06-19 00:00:00+00:00,17574.518498207886,16,Minyak Goreng Sawit Curah
2025-06-20 00:00:00+00:00,17552.854548550018,16,Minyak Goreng Sawit Curah
2025-06-23 00:00:00+00:00,17559.582876995762,16,Minyak Goreng Sawit Curah
2025-06-24 00:00:00+00:00,17497.781828608666,16,Minyak Goreng Sawit Curah
2025-06-25 00:00:00+00:00,17501.14198989899,16,Minyak Goreng Sawit Curah
2025-06-26 00:00:00+00:00,17524.95676018247,16,Minyak Goreng Sawit Curah
2025-06-30 00:00:00+00:00,17526.691870153143,16,Minyak Goreng Sawit Curah
2025-07-01 00:00:00+00:00,17508.793536819812,16,Minyak Goreng Sawit Curah
2025-07-02 00:00:00+00:00,17502.556950798305,16,Minyak Goreng Sawit Curah
2025-07-03 00:00:00+00:00,17505.912649723035,16,Minyak Goreng Sawit Curah
2025-07-04 00:00:00+00:00,17498.312481101337,16,Minyak Goreng Sawit Curah
2025-07-07 00:00:00+00:00,17512.763452101663,16,Minyak Goreng Sawit Curah
2025-07-08 00:00:00+00:00,17494.8826089117,16,Minyak Goreng Sawit Curah
2025-07-09 00:00:00+00:00,17498.914866976214,16,Minyak Goreng Sawit Curah
2025-07-10 00:00:00+00:00,17500.52777020202,16,Minyak Goreng Sawit Curah
2025-07-11 00:00:00+00:00,17500.229078445747,16,Minyak Goreng Sawit Curah
2025-07-14 00:00:00+00:00,17501.535482811993,16,Minyak Goreng Sawit Curah
2025-07-15 00:00:00+00:00,17511.022825594657,16,Minyak Goreng Sawit Curah
2025-07-16 00:00:00+00:00,17501.34544208211,16,Minyak Goreng Sawit Curah
2025-07-17 00:00:00+00:00,17502.67157111437,16,Minyak Goreng Sawit Curah
2025-07-18 00:00:00+00:00,17511.26417864125,16,Minyak Goreng Sawit Curah
2025-07-21 00:00:00+00:00,17511.509089035517,16,Minyak Goreng Sawit Curah
2025-07-22 00:00:00+00:00,17521.858524519386,16,Minyak Goreng Sawit Curah
